,title,artist,number,duration,t_eps,href,status
0,Chicago,25 or 6 to 4,176,4:50,,nan,nan
1,Sukiyaki,A Taste Of Honey,1286,3:43,,nan,nan
2,Chiquitita,ABBA,183,5:25,,nan,nan
3,"Knowing Me, Knowing You",ABBA,231,4:04,,nan,nan
4,Honey Honey,ABBA,902,2:54,,nan,nan
5,Fernando,Abba,218,4:16,,nan,nan
6,On And On And On,Abba,894,3:42,,nan,nan
7,Take A Chance On Me,Abba,961,4:02,,nan,nan
8,Last Child,Aerosmith,15,3:26,,nan,nan
9,"Oh Me, Oh My (Dreams In My Arms)",Al Green,573,2:47,,nan,nan
10,Take Me Down,Alabama,1082,3:44,,nan,nan
11,Undercover Angel,Alan O'Day,367,3:33,,nan,nan
12,Schoool's out,Alice Cooper,195,4:21,,nan,nan
13,Hey Stoopid,Alice Cooper,599,4:35,,nan,nan
14,Naked Eyes,Always Something There to Remind Me,181,3:41,,nan,nan
15,Shadow Dancing,Andy Gibb,193,4:34,,nan,nan
16,Giving You the Best That I Got,Anita Baker,578,4:21,,nan,nan
17,Caught Up In The Rapture,Anita Baker,647,5:18,,nan,nan
18,Sweet Love,Anita Baker,837,4:26,,nan,nan
19,I Can't Stand The Rain,Ann Peebles,377,2:34,,nan,nan
20,Could I Have This Dance,Anne Murray,199,5:03,,nan,nan
21,Daydream Believer,Anne Murray,312,2:27,,nan,nan
22,A Love Song,Anne Murray,917,2:44,,nan,nan
23,I Never Loved A Man,Aretha Franklin,403,2:44,,nan,nan
24,Chain Of Fools,Aretha Franklin,418,2:48,,nan,nan
25,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,1042,3:42,,nan,nan
26,Sweet Soul Music,Arthur Conley,965,2:23,,nan,nan
27,How Blue Can You Get,B.B. King,510,2:43,,nan,nan
28,The Thrill Is Gone,B.B. King,605,4:04,,nan,nan
29,Hooked On A Feeling,B.J. Thomas,1048,3:11,,nan,nan
30,Roll On Down The Highway,Bachman-Turner Overdrive,351,4:00,,nan,nan
31,Heartaches,Bachman-Turner Overdrive,699,3:54,,nan,nan
32,Rock 'n' Roll Fantasy,Bad Company,27,3:20,,nan,nan
33,Maybe Tomorrow,Badfinger,723,2:49,,nan,nan
34,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,572,3:52,,nan,nan
35,A Trick Of The Night,Bananarama,99,4:09,,nan,nan
36,Venus,Bananarama,981,3:42,,nan,nan
37,Hello Stranger,Barbara Lewis,984,2:41,,nan,nan
38,People,Barbara Streisand,49,3:41,,nan,nan
39,Funny Girl,Barbra Streisand,1118,2:45,,nan,nan
40,"You're The First, The Last, My Everything",Barry White,796,3:24,,nan,nan
41,Saturday Night,Bay City Rollers,1228,2:58,,nan,nan
42,Brass Monkey,Beastie Boys,634,2:39,,nan,nan
43,Love Me Do,Beatles,50,2:23,,nan,nan
44,Gordon Lightfoot,Beautiful,180,3:23,,nan,nan
45,Amor,Ben E. King,583,3:05,,nan,nan
46,Oh My Angel,Bertha Tillman,511,2:22,,nan,nan
47,The Rose,Bette Midler,6,3:41,,nan,nan
48,Lovely Day,Bill Withers,823,4:07,,nan,nan
49,Ain't No Sunshine,Bill Withers,1058,2:06,,nan,nan
50,Flesh For Fantasy,Billy Idol,464,4:38,,nan,nan
51,White Wedding,Billy Idol,701,4:13,,nan,nan
52,Catch My Fall,Billy Idol,794,3:42,,nan,nan
53,Hot In The City,Billy Idol,920,3:38,,nan,nan
54,Rebel Yell,Billy Idol,1167,4:51,,nan,nan
55,An Innocent Man,Billy Joel,10,5:18,,nan,nan
56,Pressure,Billy Joel,205,4:41,,nan,nan
57,Just The Way You Are,Billy Joel,240,4:51,,nan,nan
58,Don't Ask Me Why,Billy Joel,969,2:59,,nan,nan
59,With You I'm Born Again,Billy Preston,540,3:42,,nan,nan
60,Don't Say You Love Me,Billy Squier,452,4:33,,nan,nan
61,The Stroke,Billy Squier,963,3:28,,nan,nan
62,My Kinda Lover,Billy Squier,1051,3:31,,nan,nan
63,I Can Help,Billy Swan,601,2:58,,nan,nan
64,Silent Night,Bing Crosby,123,2:42,,nan,nan
65,White Christmas,Bing Crosby,241,3:02,,nan,nan
66,Just A Friend,Biz Markie,827,4:01,,nan,nan
67,One Way or Another,Blondie,743,3:28,,nan,nan
68,Island Of Lost Souls,Blondie,1203,3:50,,nan,nan
69,Summertime Blues,Blue Cheer,1170,3:46,,nan,nan
70,Willie Nelson,Blue Eyes Cryin',126,2:21,,nan,nan
71,You Can't Judge A Book By The Cover,Bo Diddley,179,3:11,,nan,nan
72,Gotta Serve Somebody,Bob Dylan,282,5:26,,nan,nan
73,Old Time Rock & Roll,Bob Seger,249,3:15,,nan,nan
74,Like A Rock,Bob Seger,941,5:55,,nan,nan
75,Rock And Roll Never Forgets,Bob Seger,1071,3:36,,nan,nan
76,Night Moves,Bob Seger,1171,5:26,,nan,nan
77,Against The Wind,Bob Seger,1177,5:34,,nan,nan
78,Even Now,Bob Seger,1208,4:33,,nan,nan
79,American Storm,Bob Seger,1277,4:18,,nan,nan
80,Trying To Live My Life Without You,Bob Seger & The Silver Bullet Band,830,4:04,,nan,nan
81,I Love You So,Bobbi Martin,56,2:56,,nan,nan
82,Ode To Billie Joe,Bobbie Gentry,1168,4:16,,nan,nan
83,Detroit City,Bobby Bare,133,2:48,,nan,nan
84,If I Were A Carpenter,Bobby Darin,1265,3:01,,nan,nan
85,That's the Way I Feel About Cha,Bobby Womack,297,3:36,,nan,nan
86,Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack,915,3:10,,nan,nan
87,Heaven Must Have Sent You,Bonnie Pointer,1232,3:36,,nan,nan
88,Nick of Time,Bonnie Raitt,627,3:53,,nan,nan
89,Feelin' Satisfied,Boston,952,4:12,,nan,nan
90,Amanda,Boston,1234,4:16,,nan,nan
91,Motown Philly,Boyz II Men,97,3:54,,nan,nan
92,If,Bread,106,2:36,,nan,nan
93,Sweet Surrender,Bread,847,2:37,,nan,nan
94,Sweet Nothin's,Brenda Lee,162,2:26,,nan,nan
95,As Usual,Brenda Lee,288,2:38,,nan,nan
96,Dum Dum,Brenda Lee,356,2:28,,nan,nan
97,Losing You,Brenda Lee,371,2:35,,nan,nan
98,Heart in Hand,Brenda Lee,484,2:31,,nan,nan
99,Too Many Rivers,Brenda Lee,696,2:52,,nan,nan
100,Everybody Loves Me but You,Brenda Lee,790,2:34,,nan,nan
101,Coming On Strong,Brenda Lee,968,2:05,,nan,nan
102,All Alone Am I,Brenda Lee,1253,2:46,,nan,nan
103,Theme From Electric Surfboard,Brother Jack McDuff,251,3:34,,nan,nan
104,Smokin' In The Boys Room,Brownsville station,256,2:59,,nan,nan
105,Hey Baby,Bruce Channel,789,2:23,,nan,nan
