,title,artist,number,duration,download
0,Chicago,25 or 6 to 4,176,4:50,TRUE
1,Sukiyaki,A Taste Of Honey,1286,3:43,TRUE
2,Chiquitita,ABBA,183,5:25,TRUE
3,"Knowing Me, Knowing You",ABBA,231,4:04,TRUE
4,Honey Honey,ABBA,902,2:54,TRUE
5,Fernando,Abba,218,4:16,TRUE
6,On And On And On,Abba,894,3:42,TRUE
7,Take A Chance On Me,Abba,961,4:02,TRUE
8,Last Child,Aerosmith,15,3:26,TRUE
9,"Oh Me, Oh My (Dreams In My Arms)",Al Green,573,2:47,TRUE
10,Take Me Down,Alabama,1082,3:44,TRUE
11,Undercover Angel,Alan O'Day,367,3:33,TRUE
12,Schoool's out,Alice Cooper,195,4:21,FALSE
13,Hey Stoopid,Alice Cooper,599,4:35,TRUE
14,Naked Eyes,Always Something There to Remind Me,181,3:41,TRUE
15,Shadow Dancing,Andy Gibb,193,4:34,TRUE
16,Giving You the Best That I Got,Anita Baker,578,4:21,TRUE
17,Caught Up In The Rapture,Anita Baker,647,5:18,TRUE
18,Sweet Love,Anita Baker,837,4:26,FALSE
19,I Can't Stand The Rain,Ann Peebles,377,2:34,TRUE
20,Could I Have This Dance,Anne Murray,199,5:03,FALSE
21,Daydream Believer,Anne Murray,312,2:27,TRUE
22,A Love Song,Anne Murray,917,2:44,TRUE
23,I Never Loved A Man,Aretha Franklin,403,2:44,TRUE
24,Chain Of Fools,Aretha Franklin,418,2:48,TRUE
25,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,1042,3:42,TRUE
26,Sweet Soul Music,Arthur Conley,965,2:23,TRUE
27,How Blue Can You Get,B.B. King,510,2:43,FALSE
28,The Thrill Is Gone,B.B. King,605,4:04,FALSE
29,Hooked On A Feeling,B.J. Thomas,1048,3:11,FALSE
30,Roll On Down The Highway,Bachman-Turner Overdrive,351,4:00,TRUE
31,Heartaches,Bachman-Turner Overdrive,699,3:54,TRUE
32,Rock 'n' Roll Fantasy,Bad Company,27,3:20,TRUE
33,Maybe Tomorrow,Badfinger,723,2:49,FALSE
34,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,572,3:52,TRUE
35,A Trick Of The Night,Bananarama,99,4:09,TRUE
36,Venus,Bananarama,981,3:42,TRUE
37,Hello Stranger,Barbara Lewis,984,2:41,TRUE
