,title,artist,number,duration,t_eps,href,status
0,Chicago,25 or 6 to 4,176,4:50,-1.0,https://ru123.iplayer.info/song/66286935/Chicago_1970_Chicago_II_-_08_25_Or_6_To_4/,Downloaded
1,Sukiyaki,A Taste Of Honey,1286,3:43,0.0,https://ru123.iplayer.info/song/28268457/a_taste_of_honey_-_sukiyaki/,Downloaded
2,Chiquitita,ABBA,183,5:25,0.0,https://patefon.net/abba-chiquitita/,Downloaded
3,"Knowing Me, Knowing You",ABBA,231,4:04,-1.0,https://ru123.iplayer.info/song/1823046/ABBA_-_KNOWING_ME_KNOWIG_YOU/,Downloaded
4,Honey Honey,ABBA,902,2:54,0.0,https://mp3co.ooo/s/abba%20honey%20honey/,Downloaded
5,Fernando,Abba,218,4:16,0.0,https://patefon.net/abba-fernando/,Downloaded
6,On And On And On,Abba,894,3:42,0.0,https://patefon.net/abba-on-and-on-and-on/,Downloaded
7,Take A Chance On Me,Abba,961,4:02,-1.0,https://ru123.iplayer.info/song/1822715/ABBA_-_Take_A_Chance_On_Me/,Downloaded
8,Last Child,Aerosmith,15,3:26,-1.0,https://ru123.iplayer.info/song/104599686/Aerosmith_-_Last_Child/,Downloaded
9,"Oh Me, Oh My (Dreams In My Arms)",Al Green,573,2:47,-1.0,https://ru123.iplayer.info/song/54648518/Al_Green_-_Oh_Me_Oh_My_Dreams_In_My_Arms/,Downloaded
10,Take Me Down,Alabama,1082,3:44,-1.0,https://ru123.iplayer.info/song/98129997/Alabama_-_Take_Me_Down/,Downloaded
11,Undercover Angel,Alan O'Day,367,3:33,-1.0,http://xgetmus.ru/song/27614959.433004601-the-karaoke-channel-undercover-angel-originally-performed-by-alan-oday-karaoke-version,Downloaded
12,School's out,Alice Cooper,195,4:21,2.0,https://ru123.iplayer.info/song/87424574/Alice_Cooper_-_Schools_Out/,Downloaded
13,Hey Stoopid,Alice Cooper,599,4:35,-1.0,https://ru123.iplayer.info/song/1912043/Alice_Cooper_-_Hey_Stoopid/,Downloaded
14,Naked Eyes,Always Something There to Remind Me,181,3:41,0.0,https://patefon.net/always-something-there-to-remind-me-naked-eyes/,Downloaded
15,Shadow Dancing,Andy Gibb,193,4:34,-1.0,https://ru123.iplayer.info/song/77741/Andy_Gibb_-_Shadow_Dancing/,Downloaded
16,Giving You the Best That I Got,Anita Baker,578,4:21,-1.0,https://ru123.iplayer.info/song/83551/Anita_Baker_-_Giving_You_The_Best_That_I_Got/,Downloaded
